Titulo,Artista,Vistas,Likes,Comentarios,Fecha,Tags,Popularidades,Generos
"Gracie Abrams - I miss you, I’m sorry (Lyric Video)",Gracie Abrams,48011222,1272156,14224,2020-04-08T13:00:31Z,[],91,['alt z']
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",Lady Gaga,287007333,4604562,128000,2024-08-16T04:00:36Z,[],100,"['art pop', 'dance pop', 'pop']"
Sailor Song,Gigi Perez,11044387,178308,1547,2024-09-23T23:12:05Z,[],93,['bedroom pop']
GloRilla - WHATCHU KNO ABOUT ME ft. Sexyy Red (Official Music Video),"Tyler, The Creator",14832097,256241,10399,2024-10-11T04:00:06Z,"['#GloRilla:', '#GloRidaz:\nInstagram:', '#GLORIOUS', '#CMGTheLabel\n\nMusic']",87,"['hip hop', 'rap']"
St. Chroma,"Tyler, The Creator",10446364,276646,14109,2024-10-28T10:02:12Z,[],89,"['hip hop', 'rap']"
"Billie Eilish, Khalid - lovely",Billie Eilish,2138285356,27467413,626688,2018-04-26T16:00:02Z,[],97,"['art pop', 'pop']"
지민 (Jimin) 'Set Me Free Pt.2' Official MV,Jimin,160147245,5271849,611989,2023-03-17T03:59:11Z,"['#지민', '#Jimin', '#Jimin_FACE']",92,['k-pop']
Sabrina Carpenter - Thumbs (Official Video),Sabrina Carpenter,259545135,3754507,101975,2017-02-10T05:00:06Z,[],94,['pop']
ROSÉ & Bruno Mars - APT. (Official Music Video),ROSÉ,332820010,8646809,396108,2024-10-18T04:00:07Z,"['#APT', '#ROSÉ', '#BrunoMars', '#MusicVideo']",97,['k-pop']
Travis Scott - FE!N ft. Playboi Carti,The Weeknd,109035376,1828437,54946,2024-03-30T21:00:04Z,"['#PlayboiCarti', '#UTOPIA']",92,"['canadian contemporary r&b', 'canadian pop', 'pop']"
"Good Luck, Babe!",Chappell Roan,56729030,634410,4119,2024-04-04T10:02:03Z,[],94,['indie pop']
"Billie Eilish, Khalid - lovely",Billie Eilish,2138285356,27467413,626688,2018-04-26T16:00:02Z,[],92,"['art pop', 'pop']"
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"Tyler, The Creator",6461219573,44039620,2257907,2015-04-07T03:00:03Z,[],89,"['hip hop', 'rap']"
"Gracie Abrams - I miss you, I’m sorry (Lyric Video)",Gracie Abrams,48011222,1272156,14224,2020-04-08T13:00:31Z,[],90,['alt z']
Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,232842129,2494876,51047,2024-04-12T14:00:07Z,[],88,['pop']
Like Him,"Tyler, The Creator",5755077,168403,5852,2024-10-28T10:04:44Z,[],85,"['hip hop', 'rap']"
"Darling, I","Tyler, The Creator",6926945,181112,5932,2024-10-28T10:01:40Z,[],87,"['hip hop', 'rap']"
Shaboozey - A Bar Song (Tipsy) [Official Visualizer],Shaboozey,150640525,1283270,40136,2024-04-12T04:00:36Z,"['#ABarSong', '#EMPIRE\n\n\nhttps://www.instagram.com/shaboozey/?hl=en\nhttps://www.tiktok.com/@shaboozey?lang=en\nhttps://twitter.com/shaboozeysjeans?lang=en\nhttps://www.facebook.com/ShaboozeyMusic/\n\n\n[Verse']",84,"['modern country pop', 'pop rap']"
Extssy Model,Oscar Maydon,181859130,917927,2835,2022-02-11T05:07:58Z,[],93,['corrido']
Lukas Graham - Love Someone [Official Music Video],Morgan Wallen,328608286,1908777,26584,2018-09-07T04:00:03Z,"['#LukasGraham', '#LoveSomeone', '#WeAreWarnerRecords']",85,['contemporary country']
Post Malone - I Had Some Help (feat. Morgan Wallen) (Official Video),Post Malone,121093857,925520,26653,2024-05-10T14:00:06Z,"['#MorganWallen', '#IHadSomeHelp\n\n©']",84,"['dfw rap', 'melodic rap', 'pop', 'rap']"
St. Chroma,"Tyler, The Creator",10446364,276646,14109,2024-10-28T10:02:12Z,[],87,"['hip hop', 'rap']"
Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,232842129,2494876,51047,2024-04-12T14:00:07Z,[],87,['pop']
"Good Luck, Babe!",Chappell Roan,56729030,634410,4119,2024-04-04T10:02:03Z,[],89,['indie pop']
James Blunt - You're Beautiful (Official Music Video) [4K],Benson Boone,831246308,5052494,151283,2009-10-27T00:29:52Z,"['#YoureBeautiful', '#BackToBedlam']",89,['singer-songwriter pop']
The Marías - Baby One More Time,The Marías,25735235,1064281,7228,2019-05-28T22:30:45Z,[],83,"['bedroom pop', 'la indie']"
Sabrina Carpenter - Please Please Please (Official Video),Sabrina Carpenter,145932000,2122163,41992,2024-06-07T00:00:06Z,"['#PleasePleasePlease', '#ShortnSweet\n']",91,['pop']
"Good Luck, Babe!",Chappell Roan,56729030,634410,4119,2024-04-04T10:02:03Z,[],86,['indie pop']
Thought I Was Dead,"Tyler, The Creator",5247922,131166,3753,2024-10-28T10:04:10Z,[],85,"['hip hop', 'rap']"
Stick Season,Noah Kahan,48320894,375259,1531,2022-10-13T10:04:38Z,[],87,"['pov: indie', 'singer-songwriter pop']"
The Neighbourhood - Sweater Weather (Official Video),The Neighbourhood,837665005,8530978,168384,2013-03-05T08:01:03Z,"['#SweaterWeather', '#AllIAmIsAMan', '#TooColdForYouHere', '#IndieMusic', '#Indie', '#TikTok', '#TikTokSongs', '#SweaterWeatherTikTok']",90,"['modern alternative rock', 'modern rock', 'pop']"
Russ - Losin Control (Official Video),Teddy Swims,438265811,2620599,45360,2016-02-01T18:55:54Z,[],89,[]
Something in the Orange,Zach Bryan,93481298,687391,1751,2022-04-21T10:03:41Z,[],86,['classic oklahoma country']
"The Kid LAROI, Justin Bieber - STAY (Official Video)",The Kid LAROI,961067691,11760775,278206,2021-07-09T04:00:12Z,"['#JustinBieber', '#Stay']",88,['australian hip hop']
Jelly Roll - Save Me (New Unreleased Video),Zach Bryan,274988141,2213141,92591,2020-06-16T17:39:33Z,['#SaveMe'],85,['classic oklahoma country']
Something in the Orange,Zach Bryan,93481298,687391,1751,2022-04-21T10:03:41Z,[],85,['classic oklahoma country']
"Kendrick Lamar, SZA - All The Stars",Kendrick Lamar,469944722,4139516,125779,2018-02-06T17:00:02Z,[],88,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Tyler The Creator - Yonkers,"Tyler, The Creator",150482494,1288248,167030,2011-02-10T19:54:13Z,[],85,"['hip hop', 'rap']"
Zach Bryan - Heading South,Zach Bryan,31154453,334670,11282,2019-09-07T05:08:15Z,[],72,['classic oklahoma country']
