Titulo,Artista,Popularidad,Generos
A200,King Savagge,72,"['mambo chileno', 'urbano chileno']"
Después De La 1,Cris Mj,87,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Who,Jimin,92,['k-pop']
Zoom Zoom,Lucky Brown,67,['urbano chileno']
Si Antes Te Hubiera Conocido,KAROL G,93,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Die With A Smile,Lady Gaga,100,"['art pop', 'dance pop', 'pop']"
Q U E V A S H A C E R H O Y ?,Omar Courtz,89,"['trap boricua', 'trap latino', 'urbano latino']"
PELIGROSA,FloyyMenor,83,['reggaeton chileno']
CHIKA MALA,Jere Klein,73,['reggaeton chileno']
Déjame Pensar,Cris Mj,78,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
SATIROLOGÍA,Kidd Voodoo,58,['urbano chileno']
DEGENERE 👑 (feat. benny blanco),Myke Towers,82,"['reggaeton', 'trap latino', 'urbano latino']"
Soltera,Shakira,87,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
MIRALA,Ovy On The Drums,68,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Piel,Tiago PZK,80,"['trap argentino', 'trap latino', 'urbano latino']"
SI NO ES CONTIGO - REMIX,Cris Mj,81,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
UWAIE,Kapo,87,[]
APAGA EL CEL,FloyyMenor,75,['reggaeton chileno']
APT.,ROSÉ,97,['k-pop']
SI NO ES CONTIGO,Cris Mj,85,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
CHINGON,Martinwhite,70,['urbano chileno']
LUNA,Feid,88,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Bentley,Lucky Brown,60,['urbano chileno']
+57,KAROL G,77,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Mi Automóvil,Fran C,61,['reggaeton chileno']
TU TA RICA,FloyyMenor,76,['reggaeton chileno']
Gracias A Dios,Fran C,64,['reggaeton chileno']
Cosa Linda,Lucky Brown,61,['urbano chileno']
Tattoo,Grupo Zúmbale Primo,68,['cumbia ranchera']
Daytona,Cris Mj,77,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Mírame,Blessd,85,"['reggaeton', 'urbano latino']"
QUE LE DE,Nes,73,[]
No Ponga Excusas,Cris Mj,79,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Tuss,Bryant Myers,74,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
Gata Only,FloyyMenor,77,['reggaeton chileno']
NO COOPERAMOS,Pailita,68,"['drill chileno', 'urbano chileno', 'urbano latino']"
Hoy,Valentino Merlo,80,[]
Nueva Era,Duki,80,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
RIKISHI (feat. DJ Acres),Fran C,57,['reggaeton chileno']
Sola Suelta Soltera,Lucky Brown,62,['urbano chileno']
"Perdonarte, ¿Para Qué?",Los Ángeles Azules,79,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']"
SE ME OLVIDA,Maisak,84,[]
Santa,Rvssian,83,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
AMARGURA,KAROL G,84,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Gitana (feat. Bryartz),Pablo Chill-E,69,"['trap chileno', 'urbano chileno', 'urbano latino']"
Soltera - W Sound 01,W Sound,82,[]
Ohnana,Kapo,85,[]
BEIA (Jere Klein),Prod Millones,64,[]
Que Te Vaya Bien,Santaferia,66,['cumbia chilena']
PRINCESITA DE ...,Jere Klein,69,['reggaeton chileno']
