Titulo,Artista,Oyentes,Generos
Mr. Brightside,The Killers,3214384,"['rock', 'indie', 'indie rock']"
Float On,Modest Mouse,1555375,"['indie', 'indie rock', 'alternative']"
The Less I Know the Better,Tame Impala,1973277,"['psychedelic', 'indie', 'psychedelic pop']"
Smells Like Teen Spirit,Nirvana,3344520,"['Grunge', 'rock', 'Nirvana']"
Everybody Wants to Rule the World,Tears for Fears,2090911,"['80s', 'pop', 'new wave']"
Electric Feel,MGMT,2250965,"['electronic', 'indie', 'funky']"
Everlong,Foo Fighters,2468488,"['rock', 'alternative rock', 'alternative']"
The Middle,Jimmy Eat World,1662821,"['rock', 'alternative rock', 'alternative']"
Seven Nation Army,The White Stripes,2443425,"['rock', 'alternative rock', 'alternative']"
Feel Good Inc.,Gorillaz,2820783,"['alternative', 'electronic', 'Hip-Hop']"
Creep,Radiohead,3056908,"['alternative', 'rock', 'alternative rock']"
Africa,Toto,1748226,"['80s', 'classic rock', 'rock']"
Can't Feel My Face,The Weeknd,1424780,"['rnb', 'love at first listen', 'r&b']"
Midnight City,M83,1729757,"['electronic', 'indie', 'electropop']"
Take on Me,a-ha,2287109,"['80s', 'pop', 'new wave']"
Come as You Are,Nirvana,2963723,"['Grunge', 'rock', 'Nirvana']"
Karma Police,Radiohead,2583459,"['alternative', 'alternative rock', 'rock']"
HUMBLE.,Kendrick Lamar,1699091,"['rap', 'Hip-Hop', 'hip hop']"
Say It Ain't So,Weezer,1501438,"['rock', 'alternative', '90s']"
Fortunate Son,Creedence Clearwater Revival,1774418,"['classic rock', 'rock', '60s']"
Buddy Holly,Weezer,1781486,"['rock', 'alternative', '90s']"
September,"Earth, Wind & Fire",1696555,"['Disco', 'funk', '70s']"
Fade Into You,Mazzy Star,1498845,"['female vocalists', 'Mellow', 'dream pop']"
Maps,Yeah Yeah Yeahs,1352351,"['indie', 'indie rock', 'female vocalists']"
All the Small Things,blink-182,2011642,"['punk rock', 'punk', 'rock']"
Semi-Charmed Life,Third Eye Blind,842151,"['90s', 'rock', 'alternative rock']"
Under the Bridge,Red Hot Chili Peppers,2305977,"['rock', 'alternative', 'Red Hot Chili Peppers']"
Two Weeks,Grizzly Bear,1045040,"['indie', 'indie rock', 'motherfuckin rabbits ejaculating sunshine']"
Redbone,Childish Gambino,1528047,"['Psychedelic Soul', 'soul', 'funk']"
Hotline Bling,Drake,1033731,"['Hip-Hop', 'i want drake to murder my vagina', 'rnb']"
Take Me Out,Franz Ferdinand,2490213,"['indie', 'rock', 'indie rock']"
Black Hole Sun,Soundgarden,1760324,"['Grunge', 'rock', '90s']"
Basket Case,Green Day,1973966,"['punk rock', 'punk', 'rock']"
Intro,The xx,1462327,"['indie', 'electronic', 'alternative']"
Loser,Beck,1407014,"['alternative', '90s', 'indie']"
Santeria,Sublime,1339251,"['ska', 'reggae', '90s']"
Landslide,Fleetwood Mac,1069782,"['classic rock', '70s', 'female vocalists']"
All I Want for Christmas Is You,Mariah Carey,1722598,"['christmas', 'pop', 'xmas']"
Island in the Sun,Weezer,1756829,"['rock', 'alternative', 'alternative rock']"
Just Like Heaven,The Cure,1774848,"['80s', 'new wave', 'alternative']"
Kids,MGMT,2380943,"['electronic', 'indie', 'alternative']"
Last Nite,The Strokes,1748750,"['indie rock', 'rock', 'indie']"
Alright,Kendrick Lamar,1391431,"['Conscious Hip Hop', 'jazz rap', 'MySpotigramBot']"
Don't Stop Believin',Journey,1684614,"['classic rock', '80s', 'rock']"
The Hills,The Weeknd,1601768,"['rnb', 'electronic', 'dark']"
Pumped Up Kicks,Foster the People,2332649,"['indie', 'indie pop', 'catchy']"
Space Song,Beach House,1504069,"['dream pop', 'indie pop', 'indie']"
Hello,Adele,862614,"['soul', 'pop', '2015']"
A-Punk,Vampire Weekend,1686162,"['indie', 'indie rock', 'alternative']"
Zombie,The Cranberries,2130582,"['rock', 'alternative', '90s']"
