Titulo,Artista,Oyentes,Generos
NOID,"Tyler, the Creator",693375,"['Psychedelic Rock', 'experimental hip hop', 'Neo-Soul']"
Rah Tah Tah,"Tyler, the Creator",665249,"['hip hop', 'trap', 'wonky']"
"Good Luck, Babe!",Chappell Roan,1311176,"['synthpop', 'pop rock', 'new wave']"
Hey Jane,"Tyler, the Creator",566042,"['MySpotigramBot', 'hip hop', 'lounge']"
BIRDS OF A FEATHER,Billie Eilish,1383092,"['alt-pop', 'pop', 'Love']"
I Killed You,"Tyler, the Creator",547183,"['hip hop', 'experimental hip hop', 'exotica']"
ST. CHROMA (feat. Daniel Caesar),"Tyler, the Creator",532588,"['experimental hip hop', 'Neo-Soul', 'Neo-Psychedelia']"
Judge Judy,"Tyler, the Creator",521413,"['Psychedelic Soul', 'rnb', 'chillwave']"
tAsTe,Sabrina Carpenter,849173,"['pop rock', 'pop', 'synthpop']"
espresso,Sabrina Carpenter,1423637,"['pop', 'dance-pop', 'boogie']"
APT.,Rosé,499239,"['pop rock', 'peter', 'song of the year']"
Die With A Smile,Lady Gaga,845400,"['Bruno Mars', 'pop', 'pop rock']"
See You Again (feat. Kali Uchis),"Tyler, the Creator",1798077,"['MySpotigramBot', 'rap', 'rnb']"
TOMORROW,"Tyler, the Creator",482102,"['Psychedelic Soul', 'Neo-Soul', '9']"
ST. CHROMA,"Tyler, the Creator",471636,"['experimental hip hop', 'west coast hip hop', 'tyler the creator']"
guess featuring billie eilish,Charli XCX,900593,"['electro house', 'tech house', 'Electroclash']"
"Darling, I (feat. Teezo Touchdown)","Tyler, the Creator",462124,"['hip hop', 'rnb', 'Neo-Soul']"
HOT TO GO!,Chappell Roan,1022897,"['synthpop', 'pop', 'new wave']"
"STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, the Creator",424785,"['hip hop', 'experimental hip hop', 'Crunk']"
I Hope You Find Your Way Home,"Tyler, the Creator",421144,"['hip hop', 'Neo-Soul', 'Neo-Psychedelia']"
"DARLING, I","Tyler, the Creator",420978,"['tyler the creator', '2024', 'Teezo Touchdown']"
360,Charli XCX,1075810,"['bubblegum bass', '2024', 'electropop']"
Please Please Please,Sabrina Carpenter,1131801,"['pop', 'female vocalist', 'urban cowboy']"
Bed Chem,Sabrina Carpenter,679271,"['pop', 'funk', 'female vocalists']"
Like Him (feat. Lola Young),"Tyler, the Creator",392731,"['MySpotigramBot', 'singer-songwriter', 'Psychedelic Soul']"
Sympathy is a knife featuring ariana grande,Charli XCX,395626,"['electropop', 'electro', 'hyperpop']"
Earfquake,"Tyler, the Creator",1554837,"['MySpotigramBot', 'Neo-Soul', 'alternative rnb']"
Pink + White,Frank Ocean,1831749,"['rnb', 'MySpotigramBot', 'Neo-Soul']"
Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, the Creator",364703,"['jazz rap', 'hardcore hip hop', 'Aquacrunk']"
BEST INTEREST,"Tyler, the Creator",1228204,"['MySpotigramBot', 'Neo-Soul', 'pop rap']"
NEW MAGIC WAND,"Tyler, the Creator",1337967,"['MySpotigramBot', 'experimental hip hop', 'hardcore hip hop']"
Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, the Creator",353387,"['hip hop', 'Smooth Soul', 'Neo-Soul']"
Sticky,"Tyler, the Creator",350942,"['Lil Wayne', 'Sexyy Red', 'banger']"
Timeless (with Playboi Carti),The Weeknd,481591,"['Playboi Carti', 'rap', 'The Weeknd']"
Apple,Charli XCX,949188,"['electropop', 'dance-pop', 'synthwave']"
My Love Mine All Mine,Mitski,1446760,"['indie', 'singer-songwriter', 'Love']"
Take Your Mask Off,"Tyler, the Creator",337239,"['Hip-Hop', 'metal', 'indie']"
Balloon (Feat. Doechii),"Tyler, the Creator",335186,"['hip hop', 'experimental hip hop', 'Neo-Soul']"
Red Wine Supernova,Chappell Roan,857860,"['synthpop', 'electropop', 'indie']"
Wildflower,Billie Eilish,858593,"['edu e marco', 'pop', 'indie folk']"
THOUGHT I WAS DEAD,"Tyler, the Creator",320812,"['santigold', 'tyler the creator', '2024']"
Sweater Weather,The Neighbourhood,2208222,"['indie', 'alternative', 'chill']"
Lovers Rock,TV Girl,1477217,"['indie pop', 'pop', 'Neo-Psychedelia']"
Juno,Sabrina Carpenter,515368,"['pop rock', 'pop', 'female vocalist']"
Kill Bill,SZA,1657372,"['pop', 'MySpotigramBot', 'psychedelic pop']"
365,Charli XCX,807848,"['electropop', 'acid techno', 'bubblegum bass']"
Lunch,Billie Eilish,1138042,"['pop', 'pop rock', 'alternative dance']"
Casual,Chappell Roan,780672,"['pop', 'Ballad', 'indie pop']"
Sailor Song,Gigi Perez,446341,"['indie', 'Love', 'indie folk']"
Like Him,"Tyler, the Creator",301996,"['tyler the creator', '2024']"
