Titulo,Artista,Popularidad,Generos
SI NO ES CONTIGO - REMIX,Cris Mj,80,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
LUNA,Feid,87,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Después De La 1,Cris Mj,86,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
PERRO NEGRO,Bad Bunny,84,"['reggaeton', 'trap latino', 'urbano latino']"
+57,KAROL G,69,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
LALA,Myke Towers,82,"['reggaeton', 'trap latino', 'urbano latino']"
LA FALDA,Myke Towers,82,"['reggaeton', 'trap latino', 'urbano latino']"
ADIVINO,Myke Towers,78,"['reggaeton', 'trap latino', 'urbano latino']"
Daytona,Cris Mj,77,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Chulo pt.2,Bad Gyal,69,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
offline,Young Miko,78,"['trap latino', 'urbano latino']"
ADIVINO,Myke Towers,74,"['reggaeton', 'trap latino', 'urbano latino']"
TRAQUETO,iZaak,73,"['trap latino', 'urbano latino']"
Ponte Bonita,Cris Mj,69,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
PERO TÚ,KAROL G,73,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Diabólica,Cris Mj,72,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
XQCP,iZaak,59,"['trap latino', 'urbano latino']"
Labios Mordidos (with KAROL G),Kali Uchis,63,['colombian pop']
50 PALOS,Feid,65,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
LUNA,iZaak,58,"['trap latino', 'urbano latino']"
No Hay Ley Parte 2 (with Rauw Alejandro),Kali Uchis,60,['colombian pop']
GODIVA,Ovy On The Drums,68,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Manhattan,Hades66,62,"['trap latino', 'urbano latino']"
DIABLITA (feat. YOVNGCHIMI),Myke Towers,68,"['reggaeton', 'trap latino', 'urbano latino']"
SOFIA,Fuerza Regida,61,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
19x,Hades66,61,"['trap latino', 'urbano latino']"
Yankee 150,Yandel,63,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Diabla,Hades66,57,"['trap latino', 'urbano latino']"
QUICKIE,Cris Mj,68,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
FANTASMA | AVC,Tainy,64,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
POLARIS - Remix,SAIKO,69,"['trap latino', 'urbano espanol', 'urbano latino']"
Me Pongo Loca,Kali Uchis,53,['colombian pop']
FERXXO 151,Feid,65,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Chulo,Bad Gyal,59,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
333,Cris Mj,62,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Mami Chula,JHAYCO,59,"['reggaeton', 'trap latino', 'urbano latino']"
En Alta,J Balvin,55,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
CUKI,Rauw Alejandro,56,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Tempo,Marshmello,57,"['brostep', 'edm', 'pop', 'progressive electro house']"
77,Peso Pluma,53,"['corridos tumbados', 'sad sierreno']"
POLARIS - Remix,SAIKO,63,"['trap latino', 'urbano espanol', 'urbano latino']"
Torii,JHAYCO,54,"['reggaeton', 'trap latino', 'urbano latino']"
LUNA,Feid,54,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Aura,Brytiago,52,"['reggaeton', 'trap latino', 'urbano latino']"
Torii,JHAYCO,52,"['reggaeton', 'trap latino', 'urbano latino']"
Chile x PR,Slick La Mina,36,[]
Tempo,Marshmello,49,"['brostep', 'edm', 'pop', 'progressive electro house']"
Mala,Cris Mj,51,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Nos Conviene Más,Cris Mj,53,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
58,JHAYCO,53,"['reggaeton', 'trap latino', 'urbano latino']"
