Titulo,Artista,Popularidad,Generos
SI NO ES CONTIGO - REMIX,Cris Mj,80,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
LUNA,Feid,87,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Después De La 1,Cris Mj,86,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
PERRO NEGRO,Bad Bunny,84,"['reggaeton', 'trap latino', 'urbano latino']"
+57,KAROL G,69,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
LALA,Myke Towers,82,"['reggaeton', 'trap latino', 'urbano latino']"
LA FALDA,Myke Towers,82,"['reggaeton', 'trap latino', 'urbano latino']"
ADIVINO,Myke Towers,78,"['reggaeton', 'trap latino', 'urbano latino']"
Daytona,Cris Mj,77,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Chulo pt.2,Bad Gyal,69,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
PERO TÚ,KAROL G,73,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
FERXXO 151,Feid,69,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
XQCP,iZaak,59,"['trap latino', 'urbano latino']"
Labios Mordidos (with KAROL G),Kali Uchis,63,['colombian pop']
50 PALOS,Feid,65,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
LUNA,iZaak,58,"['trap latino', 'urbano latino']"
Holanda,JHAYCO,66,"['reggaeton', 'trap latino', 'urbano latino']"
Muñekita (with El Alfa & JT),Kali Uchis,58,['colombian pop']
No Hay Ley Parte 2 (with Rauw Alejandro),Kali Uchis,60,['colombian pop']
GODIVA,Ovy On The Drums,68,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Manhattan,Hades66,62,"['trap latino', 'urbano latino']"
LA CAPI,Myke Towers,68,"['reggaeton', 'trap latino', 'urbano latino']"
Niña Bonita,Feid,66,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
19x,Hades66,61,"['trap latino', 'urbano latino']"
Partyson,Cris Mj,65,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Yankee 150,Yandel,63,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Diabla,Hades66,57,"['trap latino', 'urbano latino']"
QUICKIE,Cris Mj,68,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
PARARA,El Alfa,53,"['dembow', 'rap dominicano', 'trap latino', 'urbano latino']"
POLARIS - Remix,SAIKO,69,"['trap latino', 'urbano espanol', 'urbano latino']"
Me Pongo Loca,Kali Uchis,53,['colombian pop']
FERXXO 151,Feid,65,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Chulo,Bad Gyal,59,"['neoperreo', 'rap catala', 'rap latina', 'trap catala', 'urbano espanol', 'urbano latino']"
Diabólica,Cris Mj,66,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Niña Bonita,Feid,62,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
EN VISTO,Tainy,58,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']"
77,Peso Pluma,53,"['corridos tumbados', 'sad sierreno']"
POLARIS - Remix,SAIKO,63,"['trap latino', 'urbano espanol', 'urbano latino']"
Torii,JHAYCO,54,"['reggaeton', 'trap latino', 'urbano latino']"
LUNA,Feid,54,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
CHINGON,Martinwhite,70,['urbano chileno']
Aura,Brytiago,52,"['reggaeton', 'trap latino', 'urbano latino']"
Torii,JHAYCO,52,"['reggaeton', 'trap latino', 'urbano latino']"
Chile x PR,Slick La Mina,36,[]
PERO TÚ,KAROL G,59,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Mala,Cris Mj,51,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
Nos Conviene Más,Cris Mj,53,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']"
BEACHY,Daddy Yankee,49,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Gym,Lunay,48,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']"
OBVIO,Myke Towers,50,"['reggaeton', 'trap latino', 'urbano latino']"
