Titulo,Artista,Popularidad,Generos
Kiss Me - Fred de F Remix,Jakarta,3,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,86,['classic oklahoma country']
Me Usa - Live,Banda Magníficos,9,"['axe', 'forro', 'forro de favela', 'tecnobrega']"
Lovin On Me,Jack Harlow,80,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Usami Correttamente,Emyott,0,[]
greedy,Tate McRae,85,['pop']
Usami Correttamente - The Produxer Remix,Emyott,0,[]
run for the hills,Tate McRae,79,['pop']
Usami correttamente,Emyott,0,[]
so american,Olivia Rodrigo,76,['pop']
Usami correttamente,Emyott,0,[]
She Calls Me Back (with Kacey Musgraves),Noah Kahan,68,"['pov: indie', 'singer-songwriter pop']"
Usami correttamente - The Produxer Remix,Emyott,0,[]
greedy,Tate McRae,63,['pop']
Usami correttamente,Emyott,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,55,['classic oklahoma country']
Usami correttamente,Emyott,0,[]
Lovin On Me,Jack Harlow,53,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Made in the Usa,Brooke Hayes,0,[]
Stick Season,Noah Kahan,54,"['pov: indie', 'singer-songwriter pop']"
Party in the U.S.A. (as made famous by Miley Cyrus),The Future Hit Makers,0,[]
Stick Season,Noah Kahan,56,"['pov: indie', 'singer-songwriter pop']"
Skyland - Radio Edit,Sacha M,0,[]
so american,Olivia Rodrigo,53,['pop']
Saturday Night,Charmels,0,[]
USA Today,KALEO,52,"['icelandic indie', 'icelandic rock', 'modern alternative rock']"
Got to Let You Know - Radio Edit,Dj Chrixx,0,[]
Watermelon Sugar - Spotify Singles,Emei,49,"['alt z', 'singer-songwriter pop']"
Free - Ibiza Short Mix,Marc Canova,0,[]
I Remember Everything,Zach Bryan,48,['classic oklahoma country']
Miss You - L. Marshall Radio Edit,Olivier Darock,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,36,['classic oklahoma country']
Turn It Up - Radio Mix,Seight,0,[]
FTCU,Nicki Minaj,33,"['hip pop', 'pop', 'queens hip hop', 'rap']"
Para Bailar - Santo Riviera Edit Radio,Sunday,0,[]
I Remember Everything,Zach Bryan,31,['classic oklahoma country']
In the Air - Radio Edit,Touch-Down,0,[]
Stick Season,Noah Kahan,27,"['pov: indie', 'singer-songwriter pop']"
Ze Bass - Radio Edit,Krafft DJ Team,0,[]
Pink Skies (feat. Watchhouse),Zach Bryan,30,['classic oklahoma country']
Baila Morena - Dj Toni and Palace Remix,Dj Dubi,0,[]
Bandit,Don Toliver,11,['rap']
Tonight Is - Radio Edit,The Dancing Machine,0,[]
She Calls Me Back (with Kacey Musgraves),Noah Kahan,24,"['pov: indie', 'singer-songwriter pop']"
Change Your Mind - Radio Edit,Mad Machine,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,15,['classic oklahoma country']
Imagine - Radio Rap Edit Mix,Nyce Project,0,[]
Pink Skies,Zach Bryan,25,['classic oklahoma country']
Stars - Radio Edit,Greg Armano,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,22,['classic oklahoma country']
