Titulo,Artista,Popularidad,Generos
Global,Top 50,26,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,86,['classic oklahoma country']
Without Me Song,Beat 809,1,[]
greedy,Tate McRae,85,['pop']
Taki Taki Song,Beat 809,1,[]
Lovin On Me,Jack Harlow,80,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Sunflower (Spider-Man Song),Beat 809,2,[]
Losers (Feat. Jelly Roll),Post Malone,74,"['dfw rap', 'melodic rap', 'pop', 'rap']"
"Thank U, Next Song",Beat 809,1,[]
Pour Me A Drink (Feat. Blake Shelton),Post Malone,70,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Wow Song,Beat 809,1,[]
greedy,Tate McRae,63,['pop']
Ciao Ciao - 2021 Summer Hit Mix,Vito Lavita,1,[]
greedy,Tate McRae,60,['pop']
L'amour Toujours (I'll Fly with You) - In My Mind Mashup,Faraday,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,55,['classic oklahoma country']
Telepatía - Bob Montero House Remix,Miguel Ferrer,0,"[""children's story""]"
Requiem,keshi,58,['chill r&b']
Kill Bill - Escapism Drum & Bass Remix,Kiddo,0,[]
Paint The Town Red,Doja Cat,45,"['dance pop', 'pop']"
Top 50 (Global),Chemical Bathhouse,0,[]
Losers (Feat. Jelly Roll),Post Malone,38,"['dfw rap', 'melodic rap', 'pop', 'rap']"
Global Top 50,Smeg,0,[]
Paint The Town Red,Doja Cat,40,"['dance pop', 'pop']"
Top of the World,Global Minds,0,[]
KEHLANI,Jordan Adetunji,41,['irish hip hop']
Global Dance - Special Mix,WallHack,0,[]
I Remember Everything,Zach Bryan,31,['classic oklahoma country']
507 - Original Mix,KhoMha,0,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
Top,Lucky Daye,28,"['alternative r&b', 'r&b']"
507 - Original Mix,KhoMha,0,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']"
Global Energy,Bvibes,0,[]
Mirame,Blessd,37,"['reggaeton', 'urbano latino']"
Status Excessu D (The Official A State Of Trance 500 Anthem) - Original Mix,GAIA,0,"['trance', 'uplifting trance']"
Requiem,keshi,29,['chill r&b']
Mental Distortion - Hardstyle Mix,Global Sound Players,0,[]
She Calls Me Back (with Kacey Musgraves),Noah Kahan,24,"['pov: indie', 'singer-songwriter pop']"
No Time To Die - (Cover by Billie Eilish),Sifare Cover Band,2,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,15,['classic oklahoma country']
Danger - Mike Nero Hardtek Mix,Global Sound Players,0,[]
Pink Skies (feat. Watchhouse),Zach Bryan,30,['classic oklahoma country']
Danger - Mike Nero Hardtek Mix,Global Sound Players,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,22,['classic oklahoma country']
Danger - Mike Nero Hardtek Mix,Global Sound Players,0,[]
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,25,['classic oklahoma country']
Things I Am Not Proud Of - Global Influence Remix,Tech Trek & Myk Bee,0,[]
Flooded the Face,Lil Uzi Vert,14,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
Sweetest Silence - Rene Ablaze & Global Influence Remix,Nico Otten feat. Crystal Blakk,0,[]
Lovin on Me,Jack Harlow,23,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
Used to Be Young - Calvin's Eras Tour Mix,Singo,0,[]
