Titulo,Vistas,Likes,Comentarios,Fecha,Tags
"KAROL G, Feid, DFZM ft. Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd - +57",15598352,883849,73874,2024-11-08T00:00:06Z,['#57']
YoungBoy Never Broke Again - Sneaking [Official Video],1029066,75819,3901,2024-11-08T03:41:23Z,[]
YoungBoy Never Broke Again - Killa Season [Official Video],1164882,81449,4392,2024-11-08T04:16:17Z,[]
YoungBoy Never Broke Again - Missing Everything [Official Video],1132351,86119,6341,2024-11-08T02:20:12Z,[]
YoungBoy Never Broke Again - Catch Me [Official Video],812399,55568,2963,2024-11-08T02:20:09Z,[]
"Dos Días - Tito Double P, Peso Pluma (Video Oficial)",13362287,149392,3065,2024-11-01T01:00:08Z,"['#TitoDoubleP', '#DosDias']"
Yailin La Mas Viral - Bing Bong (Video Oficial),4486001,183876,23990,2024-11-06T00:00:06Z,['#bingbong']
St. Chroma,9767138,267970,13910,2024-10-28T10:02:12Z,[]
Rod Wave - Westside Connection (Official Video),408447,53480,2899,2024-11-11T05:00:07Z,['#LastLap']
Nino Paid - Play This At My Funeral (Official Video) Dir: @Shotbyaddict,1118910,63121,3115,2024-11-04T17:00:06Z,[]
Kevin Gates - FEEL (Official Music Video),797887,42226,2749,2024-11-08T05:00:02Z,['#FEEL']
Sticky,6251040,166016,7216,2024-10-28T10:02:16Z,[]
YoungBoy Never Broke Again - Never Stopping [Official Video],572037,54569,3409,2024-11-08T02:20:02Z,[]
Brandon Lake - Hard Fought Hallelujah (Music Video),792358,47584,3192,2024-11-08T17:00:06Z,"['#HARDFOUGHTHALLELUJAH:\nSpotify:', '#HardFoughtHallelujah', '#ChristianMusic']"
"Darling, I",6486720,175857,5823,2024-10-28T10:01:40Z,[]
"Dax - ""Soldier"" (Feat. Tom MacDonald) [Official Video]",1320665,89411,7844,2024-11-08T17:00:33Z,"['#Dax', '#tommacdonald', '#army', '#manhood', '#military', '#masculinity']"
Kevin Gates - Renewed Ambition (Official Music Video),1291222,47188,2765,2024-11-01T19:00:09Z,"['#KevinGates', '#BreadWinnerAlumni', '#BreadWinnerRecords']"
Chappell Roan: Pink Pony Club (Live) - SNL,1880558,60138,2423,2024-11-03T06:21:57Z,"['#SNL50', '#JohnMulaney', '#ChappellRoan']"
"""Goodbye Joe"" - Tom MacDonald ft. Nova Rockafeller",5601601,209104,20811,2024-11-01T15:58:22Z,"['#Election2024', '#GoodbyeJoe']"
Fuerza Regida X Luis R Conriquez - CHOLO 7 (VIDEO OFICIAL),3454839,83460,1929,2024-11-01T00:00:05Z,['#Cholo7']
Tyla - PUSH 2 START (Official Music Video),2910929,180792,9678,2024-11-07T22:00:06Z,['#PUSH2START']
PARTYNEXTDOOR - Dreamin (Official Audio),975149,36357,1420,2024-11-05T02:10:52Z,"['#OVOSOUND', '#PND', '#PND4']"
GOLPE DE ESTADO FT @blackinny X @Lamrecords414 X @YamaMakeThemBounce,3471504,160603,8635,2024-11-03T02:00:06Z,[]
Yungeen Ace - Used To This (Official Music Video),593272,34339,1661,2024-11-06T21:00:07Z,['#UsedToThis']
Six Hundred Strike,1975499,45862,5461,2024-10-30T10:02:56Z,[]
Get in the Water,1714435,39834,1606,2024-10-30T10:01:56Z,[]
Future - BRAZZIER (Official Music Video),1332666,52347,2311,2024-11-05T02:00:37Z,"['#BRAZZIER', '#MIXTAPEPLUTO']"
Dangerous,1803825,39302,1654,2024-10-30T10:01:07Z,[]
Loe Shimmy & Brent Faiyaz - For Me (Official Video),308570,19630,592,2024-11-08T05:46:48Z,"['#nardyworld', '#zombieland']"
Kodak Black - Catch Fire [Official Music Video],863485,42938,3008,2024-11-05T07:20:39Z,['#CatchFire']
