Titulo,Artista,Vistas,Likes,Comentarios,Fecha,Tags,Oyentes,Generos
"Kali Uchis - After The Storm ft. Tyler, The Creator, Bootsy Collins","Tyler, the Creator",169033649,2022101,26620,2018-01-25T16:00:01Z,[],693375,"['Psychedelic Rock', 'experimental hip hop', 'Neo-Soul']"
St. Chroma,"Tyler, the Creator",14126924,322848,15385,2024-10-28T10:02:12Z,[],665249,"['hip hop', 'trap', 'wonky']"
"Good Luck, Babe!",Chappell Roan,60387438,660958,4293,2024-04-04T10:02:03Z,[],1311176,"['synthpop', 'pop rock', 'new wave']"
St. Chroma,"Tyler, the Creator",14126924,322848,15385,2024-10-28T10:02:12Z,[],566042,"['MySpotigramBot', 'hip hop', 'lounge']"
"Billie Eilish, Khalid - lovely",Billie Eilish,2142077216,27501091,627758,2018-04-26T16:00:02Z,[],1383092,"['alt-pop', 'pop', 'Love']"
Tyler The Creator - Yonkers,"Tyler, the Creator",150556322,1289950,167095,2011-02-10T19:54:13Z,[],547183,"['hip hop', 'experimental hip hop', 'exotica']"
St. Chroma,"Tyler, the Creator",14126924,322848,15385,2024-10-28T10:02:12Z,[],532588,"['experimental hip hop', 'Neo-Soul', 'Neo-Psychedelia']"
St. Chroma,"Tyler, the Creator",14126924,322848,15385,2024-10-28T10:02:12Z,[],521413,"['Psychedelic Soul', 'rnb', 'chillwave']"
Sabrina Carpenter - Please Please Please (Official Video),Sabrina Carpenter,151874549,2149519,42462,2024-06-07T00:00:06Z,"['#PleasePleasePlease', '#ShortnSweet\n']",849173,"['pop rock', 'pop', 'synthpop']"
Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,243366036,2554857,52414,2024-04-12T14:00:07Z,[],1423637,"['pop', 'dance-pop', 'boogie']"
ROSÉ & Bruno Mars - APT. (Official Music Video),Rosé,410780421,9467399,431919,2024-10-18T04:00:07Z,"['#APT', '#ROSÉ', '#BrunoMars', '#MusicVideo']",499239,"['pop rock', 'peter', 'song of the year']"
"Lady Gaga, Bruno Mars - Die With A Smile (Official Music Video)",Lady Gaga,326399126,4935583,136829,2024-08-16T04:00:36Z,[],845400,"['Bruno Mars', 'pop', 'pop rock']"
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"Tyler, the Creator",6473898947,44099009,2259648,2015-04-07T03:00:03Z,[],1798077,"['MySpotigramBot', 'rap', 'rnb']"
"Kali Uchis - After The Storm ft. Tyler, The Creator, Bootsy Collins","Tyler, the Creator",169033649,2022101,26620,2018-01-25T16:00:01Z,[],482102,"['Psychedelic Soul', 'Neo-Soul', '9']"
"Tyler, the Creator Wins Best Rap Album | 2020 GRAMMYs Acceptance Speech","Tyler, the Creator",14082460,443988,11333,2020-01-27T03:22:02Z,"['#GRAMMYAwards', '#UnexpectEverything', '#GRAMMYs2020', '#bestrapalbum', '#tylerthecreator']",471636,"['experimental hip hop', 'west coast hip hop', 'tyler the creator']"
Billie Eilish - BIRDS OF A FEATHER (Official Music Video),Charli XCX,105692112,1857583,50512,2024-09-27T15:00:38Z,[],900593,"['electro house', 'tech house', 'Electroclash']"
"Darling, I","Tyler, the Creator",9218284,206607,6360,2024-10-28T10:01:40Z,[],462124,"['hip hop', 'rnb', 'Neo-Soul']"
"Good Luck, Babe!",Chappell Roan,60387438,660958,4293,2024-04-04T10:02:03Z,[],1022897,"['synthpop', 'pop', 'new wave']"
Sticky,"Tyler, the Creator",10714138,245544,8794,2024-10-28T10:02:16Z,[],424785,"['hip hop', 'experimental hip hop', 'Crunk']"
Take Your Mask Off,"Tyler, the Creator",4256982,99352,4864,2024-10-28T10:03:22Z,[],421144,"['hip hop', 'Neo-Soul', 'Neo-Psychedelia']"
See You Again,"Tyler, the Creator",227994026,2237610,11988,2017-07-20T11:23:01Z,[],420978,"['tyler the creator', '2024', 'Teezo Touchdown']"
Iggy Azalea - Fancy ft. Charli XCX,Charli XCX,1176228221,6022603,254489,2014-03-04T16:00:02Z,[],1075810,"['bubblegum bass', '2024', 'electropop']"
Sabrina Carpenter - Espresso (Official Video),Sabrina Carpenter,243366036,2554857,52414,2024-04-12T14:00:07Z,[],1131801,"['pop', 'female vocalist', 'urban cowboy']"
Sabrina Carpenter - Please Please Please (Official Video),Sabrina Carpenter,151874549,2149519,42462,2024-06-07T00:00:06Z,"['#PleasePleasePlease', '#ShortnSweet\n']",679271,"['pop', 'funk', 'female vocalists']"
Like Him,"Tyler, the Creator",10057860,257055,7476,2024-10-28T10:04:44Z,[],392731,"['MySpotigramBot', 'singer-songwriter', 'Psychedelic Soul']"
Sympathy is a knife,Charli XCX,2753005,24462,381,2024-06-06T10:03:46Z,[],395626,"['electropop', 'electro', 'hyperpop']"
