Titulo,Vistas,Likes,Comentarios,Fecha,Tags,Artista,Popularidad,Generos
"KAROL G, Feid, DFZM ft. Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd - +57",15598352,883849,73874,2024-11-08T00:00:06Z,['#57'],KAROL G,84,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
YoungBoy Never Broke Again - Sneaking,1029066,75819,3901,2024-11-08T03:41:23Z,[],YoungBoy Never Broke Again,59,"['baton rouge rap', 'rap']"
YoungBoy Never Broke Again - Killa Season,1164882,81449,4392,2024-11-08T04:16:17Z,[],YoungBoy Never Broke Again,59,"['baton rouge rap', 'rap']"
YoungBoy Never Broke Again - Missing Everything,1132351,86119,6341,2024-11-08T02:20:12Z,[],YoungBoy Never Broke Again,57,"['baton rouge rap', 'rap']"
YoungBoy Never Broke Again - Catch Me,812399,55568,2963,2024-11-08T02:20:09Z,[],YoungBoy Never Broke Again,54,"['baton rouge rap', 'rap']"
"Dos Días - Tito Double P, Peso Pluma",13362287,149392,3065,2024-11-01T01:00:08Z,"['#TitoDoubleP', '#DosDias']",Tito Double P,88,['corrido']
Yailin La Mas Viral - Bing Bong,4486001,183876,23990,2024-11-06T00:00:06Z,['#bingbong'],Yailin la Mas Viral,65,['dembow']
St. Chroma,9767138,267970,13910,2024-10-28T10:02:12Z,[],"Trey, The Creator",42,[]
Rod Wave - Westside Connection,408447,53480,2899,2024-11-11T05:00:07Z,['#LastLap'],Big Homiie General,11,[]
Nino Paid - Play This At My Funeral  Dir: @Shotbyaddict,1118910,63121,3115,2024-11-04T17:00:06Z,[],Myke Towers,56,"['reggaeton', 'trap latino', 'urbano latino']"
Kevin Gates - FEEL,797887,42226,2749,2024-11-08T05:00:02Z,['#FEEL'],Kevin Gates,55,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Sticky,6251040,166016,7216,2024-10-28T10:02:16Z,[],"Tyler, The Creator",88,"['hip hop', 'rap']"
YoungBoy Never Broke Again - Never Stopping,572037,54569,3409,2024-11-08T02:20:02Z,[],YoungBoy Never Broke Again,56,"['baton rouge rap', 'rap']"
Brandon Lake - Hard Fought Hallelujah,792358,47584,3192,2024-11-08T17:00:06Z,"['#HARDFOUGHTHALLELUJAH:\nSpotify:', '#HardFoughtHallelujah', '#ChristianMusic']",Brandon Lake,69,"['ccm', 'worship']"
"Darling, I",6486720,175857,5823,2024-10-28T10:01:40Z,[],31Knots,4,['math rock']
"Dax - ""Soldier""",1320665,89411,7844,2024-11-08T17:00:33Z,"['#Dax', '#tommacdonald', '#army', '#manhood', '#military', '#masculinity']",Dax,59,"['canadian hip hop', 'ottawa rap']"
Kevin Gates - Renewed Ambition,1291222,47188,2765,2024-11-01T19:00:09Z,"['#KevinGates', '#BreadWinnerAlumni', '#BreadWinnerRecords']",Kevin Gates,56,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Chappell Roan: Pink Pony Club  - SNL,1880558,60138,2423,2024-11-03T06:21:57Z,"['#SNL50', '#JohnMulaney', '#ChappellRoan']",Chappell Roan,86,['indie pop']
"""Goodbye Joe"" - Tom MacDonald ft. Nova Rockafeller",5601601,209104,20811,2024-11-01T15:58:22Z,"['#Election2024', '#GoodbyeJoe']",Tom MacDonald,56,"['bc underground hip hop', 'country rap', 'maga rap']"
Fuerza Regida X Luis R Conriquez - CHOLO 7,3454839,83460,1929,2024-11-01T00:00:05Z,['#Cholo7'],Fuerza Regida,76,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
Tyla - PUSH 2 START,2910929,180792,9678,2024-11-07T22:00:06Z,['#PUSH2START'],Tyla,78,[]
PARTYNEXTDOOR - Dreamin,975149,36357,1420,2024-11-05T02:10:52Z,"['#OVOSOUND', '#PND', '#PND4']",PARTYNEXTDOOR,78,"['r&b', 'rap', 'urban contemporary']"
GOLPE DE ESTADO FT @blackinny X @Lamrecords414 X @YamaMakeThemBounce,3471504,160603,8635,2024-11-03T02:00:06Z,[],Hades66,49,"['trap latino', 'urbano latino']"
Yungeen Ace - Used To This,593272,34339,1661,2024-11-06T21:00:07Z,['#UsedToThis'],Yungeen Ace,47,"['florida drill', 'florida rap', 'melodic rap']"
Six Hundred Strike,1975499,45862,5461,2024-10-30T10:02:56Z,[],Jorge Rivera-Herrans,71,[]
Get in the Water,1714435,39834,1606,2024-10-30T10:01:56Z,[],Jorge Rivera-Herrans,71,[]
Future - BRAZZIER,1332666,52347,2311,2024-11-05T02:00:37Z,"['#BRAZZIER', '#MIXTAPEPLUTO']",Future,66,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Dangerous,1803825,39302,1654,2024-10-30T10:01:07Z,[],BOYNEXTDOOR,61,['5th gen k-pop']
Loe Shimmy & Brent Faiyaz - For Me,308570,19630,592,2024-11-08T05:46:48Z,"['#nardyworld', '#zombieland']",Loe Shimmy,65,[]
Kodak Black - Catch Fire,863485,42938,3008,2024-11-05T07:20:39Z,['#CatchFire'],Kodak Black,62,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']"
